,the_geom,segmentid,Shape_Le_1,boro,street,fromstreet,tostreet,onoffst,facilitycl,allclasses,bikedir,lanecount,ft_facilit,tf_facilit
80,"MULTILINESTRING ((-74.15263083113717 40.58846641702213, -74.15318265393401 40.58789201245211))",7731,259.392724519,5,KELLY BLVD,TRAVIS AVE,ROCKLAND AVE,ON,II,II,2,2,Standard,Standard
82,"MULTILINESTRING ((-74.14972777159286 40.5894925030513, -74.15096773477968 40.59017906233954))",7816,425.637504795,5,ROCKLAND AVE,KELLY BLVD,MC DIVITT AVE,ON,II,"III,II",2,2,Sharrows,Standard
86,"MULTILINESTRING ((-74.12361418772201 40.62984434839232, -74.12321970431043 40.629248591288835))",9807,243.10630718,5,CLOVE ROAD,RICHMOND TERR,FOREST AVE,ON,III,III,2,2,Sharrows,Sharrows
100,"MULTILINESTRING ((-74.12005258935595 40.57134285422802, -74.11989461375035 40.57124995890796))",10343,55.4219401803,5,BEACH AV,S RAILROAD AV,NEW DORP PLZ,ON,III,III,R,1,Signed Route,
104,"MULTILINESTRING ((-74.00829968858406 40.62636149775401, -74.00887928261909 40.62580248375006))",19549,259.545752673,3,11 AV,62 ST,79 ST,ON,II,II,R,1,Standard,
108,"MULTILINESTRING ((-74.11888990155214 40.572560205080684, -74.12028251793765 40.57147389231577))",10510,553.458172287,5,NEW DORP PLZ,BEACH AV,NEW DORP LA,ON,II,II,R,1,Standard,
114,"MULTILINESTRING ((-74.11615310022026 40.57455209419559, -74.11668292851935 40.57415898139669))",10552,205.369207444,5,N RAILROAD AV,NEW DORP LA,JEFFERSON AV,ON,II,II,R,1,Standard,
117,"MULTILINESTRING ((-74.11416857497422 40.55728323991426, -74.11473114918827 40.557131336803124))",10596,165.832106594,5,MILL RD,GUYON AV,PENN AV,ON,III,III,2,2,Sharrows,Sharrows
136,"MULTILINESTRING ((-74.1066043939087 40.56877826832049, -74.10547294553264 40.56825534198563))",10855,367.573653927,5,NEW DORP LN,MILL RD,FDR BOARDWALK,ON,III,III,2,2,Sharrows,Sharrows
142,"MULTILINESTRING ((-74.10231607286012 40.577944245870526, -74.10142911627773 40.57748035257534))",10966,298.781345516,5,MIDLAND AV,FR CAPODANNO BLVD,HYLAN BLVD,ON,II,"II,III",2,2,Standard,Signed Route
178,"MULTILINESTRING ((-74.01001403616623 40.62816137416373, -74.01050029779292 40.62769279938313))",19557,217.628353142,3,10 AV,86 ST,62 ST,ON,II,II,L,1,,Standard
184,"MULTILINESTRING ((-74.10278862897019 40.58422448721873, -74.10263321590136 40.58410694564017))",11637,60.8055061248,5,JEFFERSON AV,N RAILROAD AV,HYLAN BLVD,ON,II,II,L,1,,Standard
188,"MULTILINESTRING ((-74.10204260809364 40.58477584977739, -74.10278862897019 40.58422448721873))",11644,288.598644871,5,JEFFERSON ST,BUEL AV,JEFFERSON AV,ON,III,III,2,2,Sharrows,Sharrows
198,"MULTILINESTRING ((-73.93417194186887 40.814263438302255, -73.93406835289753 40.814256882023784))",240159,28.7733300073,1,MADISON AV BR,5 AV,BRONX BOROUGH BOUNDARY,OFF,L,L,2,0,,
200,"MULTILINESTRING ((-74.09963844536792 40.58838810564798, -74.09850595241349 40.58780967604319))",11764,378.614362705,5,BUEL AV,HYLAN BL,JERFFERSON ST,ON,III,III,2,2,Sharrows,Sharrows
207,"MULTILINESTRING ((-74.08912148057901 40.58414256104766, -74.08978365956031 40.58339158560974))",12242,329.676539148,5,MASON AV,SEAVIEW AV,BUEL AV,ON,II,II,2,2,Standard,Standard
216,"MULTILINESTRING ((-74.08581269190012 40.620375549083526, -74.08589883541427 40.61990942917572))",15157,171.495364249,5,VAN DUZER ST,BROAD ST,OAKLAND TERR,ON,II,II,R,1,Buffered,
234,"MULTILINESTRING ((-74.08899694235053 40.61066439142902, -74.08958811729511 40.609848085518585))",13386,339.691432052,5,RICHMOND RD,PIERCE ST,DEKALB ST,ON,III,III,R,1,Bike-Friendly Parking,
245,"MULTILINESTRING ((-74.10297436236009 40.64538238236218, -74.10309459500384 40.64538485822955, -74.10321486112633 40.64538604259746, -74.10333513707285 40.645385933686065, -74.10345539800915 40.64538453151764, -74.10357562265068 40.64538183791244, -74.1036957849782 40.645377851093016, -74.10381586134392 40.645372573782424, -74.10393582691378 40.64536600600342, -74.10405566040178 40.64535814867604, -74.1041753357958 40.64534900452586, -74.10429482944686 40.64533857537585, -74.10441411888692 40.645326862147435, -74.10453317810536 40.64531386846706, -74.10465198581649 40.64529959525521))",13798,467.285869255,5,RICHMOND TER,SNUG HARBOR RD,CLINTON AV,ON,III,III,2,2,Sharrows,Sharrows
250,"MULTILINESTRING ((-73.99635808467426 40.68609625274857, -73.99538556352763 40.68577513070053))",22418,293.99934087,3,KANE ST,COLUMBIA ST,COURT ST,ON,II,II,L,1,,Standard
256,"MULTILINESTRING ((-74.06354940419718 40.59618322973988, -74.06312169535028 40.59559899100783))",14805,243.752471531,5,OCEAN AV,GUILFORD ST,DRURY AV,ON,III,III,R,1,Sharrows,
257,"MULTILINESTRING ((-74.06463740793615 40.60018246638861, -74.0637593338734 40.59893485965751))",14820,515.810079661,5,LILY POND AV,SCHOOL RD,FR CAPODANNO BLVD,ON,II,II,2,2,Standard,Curbside
261,"MULTILINESTRING ((-74.06181815760236 40.594189417664055, -74.06260093604675 40.59358190629474))",14881,310.239151527,5,DRURY AV,OCEAN AV,FR CAPODANNO BLVD,ON,III,III,R,1,Sharrows,
262,"MULTILINESTRING ((-74.08720823286464 40.60987895856193, -74.08812546240918 40.60898062776996))",15068,414.69907512,5,TARGEE ST,DEKALB ST,LAUREL AVE,ON,II,II,L,1,,Standard
265,"MULTILINESTRING ((-74.08692973681205 40.613499616924074, -74.08720982789177 40.613306973220055))",15091,104.753574507,5,VANDERBILT AV,VAN DUZER,OSGOOD AV,ON,III,III,2,2,Sharrows,Sharrows
292,"MULTILINESTRING ((-74.08382413376688 40.62325269313246, -74.08524991602772 40.62280087111001))",15188,428.664405108,5,BROAD ST,VAN DUZER ST,WRIGHT ST,ON,II,II,2,2,Standard,Standard
303,"MULTILINESTRING ((-74.08360026286836 40.62788278240356, -74.08373952169107 40.62766834826336, -74.08373960427951 40.62766823113559, -74.08373967621934 40.627668105010365, -74.0838601553084 40.627445894895885, -74.08386026144447 40.62744570570924, -74.08386034276005 40.627445516540675, -74.08396107579287 40.62721674691845, -74.08396112176332 40.627216647827694, -74.08396115826712 40.62721653973862, -74.08404131763643 40.626982742149636, -74.08404136357265 40.62698261604322, -74.08404140004211 40.62698248093854, -74.0841004099969 40.62674524976768, -74.08413798924056 40.6265062872365, -74.08413801274261 40.626506179156884, -74.08413802323226 40.62650606208157, -74.08415419901478 40.62626711520062))",15378,614.033525664,5,ST PAULS AVE,TROSSACH RD,VAN DUZER ST,ON,II,II,R,1,Standard,
306,"MULTILINESTRING ((-73.93142136681992 40.80145626736772, -73.93118246006044 40.80135377244576))",241904,75.956728771,1,RFK BR,2 AV,RANDALLS ISLAND GREENWAY,OFF,L,L,2,0,,
321,"MULTILINESTRING ((-74.07660380691475 40.62929845653131, -74.07656199824284 40.629069509178095))",15550,84.2150713116,5,BAY ST,RICHMOND TER,MINTHORNE ST,ON,III,III,2,2,Sharrows,Sharrows
339,"MULTILINESTRING ((-74.07412763815184 40.6268182816278, -74.07397539535518 40.62611369654385))",15715,260.154527255,5,FRONT ST,MURRAY HULBERT AV,THOMPSON ST,ON,II,II,2,2,Standard,Standard
361,"MULTILINESTRING ((-73.96451269186396 40.63668756560607, -73.96421566840468 40.63510003775244))",28168,584.224747091,3,RUGBY RD,AVE H,CATON AVE,ON,II,II,R,1,Standard,
362,"MULTILINESTRING ((-74.06334924701073 40.60604287283006, -74.06500240401814 40.605313995675125))",16025,530.31251443,5,SCHOOL RD,BAY ST,LILY POND AV,ON,II,II,2,2,Standard,Standard
379,"MULTILINESTRING ((-74.07762740074942 40.6347158545964, -74.07845483940147 40.634863977760084))",16341,235.912525829,5,SWAN ST,VAN DUZER ST,ST PAULS AVE,ON,III,III,R,1,Sharrows,
392,"MULTILINESTRING ((-74.07494671451033 40.642147203115314, -74.07465384931211 40.64219920044835))",16446,83.4549008283,5,FERRY TERMINAL VIADUCT,BAY ST,FERRY TERMINAL VIADUCT,ON,I,I,2,2,Protected Path,Protected Path
394,"MULTILINESTRING ((-74.04066251646603 40.62491296404661, -74.04066851626307 40.624861487295604, -74.04067502191845 40.62481004548527, -74.04068203225137 40.62475864221803, -74.04068954726237 40.62470728019548, -74.04069756695237 40.62465596301946, -74.04070609132141 40.62460469249096, -74.04071511800679 40.624553472212774, -74.04072464819082 40.62450230488593, -74.04073468069222 40.62445119321227, -74.04074521551203 40.62440014079378, -74.04075625028646 40.62434914943219, -74.04076778619793 40.62429822182844, -74.04077982324809 40.62424736248507, -74.04079235789077 40.62419657230362))",16581,263.597477097,3,SHORE RD,4 AV,68 ST,ON,II,II,R,1,Standard,
396,"MULTILINESTRING ((-74.04074397495289 40.62568829917943, -74.03910886528953 40.625371381486815))",16588,468.346464146,3,86 ST,3 AV,SHORE RD,ON,II,II,2,2,Standard,Standard
397,"MULTILINESTRING ((-74.0359246097454 40.617054827717894, -74.03568169722905 40.61667058720406))",16759,155.386317942,3,MARINE AVENUE,FT HAMILTON PKWY,92 ST,ON,III,III,2,2,Sharrows,Sharrows
412,"MULTILINESTRING ((-74.03784013156324 40.62127474523168, -74.03809447943975 40.62058489858502))",16627,261.059626208,3,COLONIAL RD,92 ST,WAKEMAN PL,ON,II,II,L,1,,Standard
418,"MULTILINESTRING ((-74.03871694277325 40.62621589571771, -74.03607109546493 40.62559887351399))",16648,768.0902451,3,85 ST,NARROWS AV,FT HAMILTON PKWY,ON,II,II,R,1,Standard,
430,"MULTILINESTRING ((-74.03616248405616 40.6181683001741, -74.03649125987566 40.61798915565069))",16756,112.209449384,3,RIDGE BL,WAKEMAN PL,MARINE AV,ON,II,II,R,1,Standard,
432,"MULTILINESTRING ((-74.02165021040227 40.62244864709358, -74.02231790341912 40.621917050354696))",17255,268.078765663,3,7 Av,79 ST,6 AV,ON,II,II,R,1,Standard,
449,"MULTILINESTRING ((-74.03578883616076 40.62628504987852, -74.03310842044327 40.625647051181446))",16790,779.514922745,3,84 ST,FT HAMILTON PKWY,COLONIAL RD,ON,II,II,L,1,,Standard
458,"MULTILINESTRING ((-74.030164166929 40.613927011300774, -74.03085413897514 40.613122239574054))",16888,350.23234378,3,FT HAMILTON PARKWAY,92 ST,MARINE AVE,ON,III,III,2,2,Sharrows,Sharrows
469,"MULTILINESTRING ((-74.03315548263323 40.63273497281076, -74.03047307277487 40.63209896770712))",16958,779.758515234,3,BAY RIDGE PKWY,COLONIAL RD,RIDGE BL,ON,II,"II,III",2,2,Sharrows,Standard
486,"MULTILINESTRING ((-74.02262514141565 40.62121078424074, -74.02255480105465 40.62126440604023, -74.02245052444445 40.621201732223646))",17164,64.4912807508,3,84 ST PED OVPS,FT HAMILTON PKWY,DYKER PL,ON,L,L,2,0,,
489,"MULTILINESTRING ((-74.02517769998438 40.63309649369496, -74.02423774568162 40.63285893157991))",17194,274.87501435,3,72 STREET,COLONIAL RD,6 AVE,ON,II,II,R,1,Standard,
491,"MULTILINESTRING ((-74.02150602843899 40.6078220989244, -74.02126136737287 40.60766595797527, -74.02100250869394 40.60752191310381, -74.02073103599432 40.60739102654445, -74.02044871001895 40.60727423443764, -74.02015744501202 40.60717226579068, -74.0198592732764 40.60708564248747))",17205,533.595485352,3,CROPSEY AV,14 AV,7 AV,ON,II,II,2,2,Standard,Standard
493,"MULTILINESTRING ((-74.0221611596052 40.61616572864597, -74.02279661954643 40.61457960154411))",17208,604.199146062,3,7 AV,CROPSEY AV,FT HAMILTON PKWY,ON,II,II,2,2,Standard,Standard
508,"MULTILINESTRING ((-74.02238878720145 40.62289601015302, -74.02268668848106 40.62217810203842))",17251,274.315392747,3,6 AVENUE,67 ST,FT HAMILTON PKWY,ON,III,III,2,2,Sharrows,Sharrows
526,"MULTILINESTRING ((-74.02137456331053 40.632578600511174, -74.02173709467213 40.63168788291327))",17308,339.755348334,3,5 AVENUE,65 ST,72 ST,ON,III,III,2,2,Sharrows,Sharrows
551,"MULTILINESTRING ((-74.01661424925663 40.63041173590953, -74.01634322392806 40.63028559576445))",17384,88.155109713,3,OVINGTON RD,7 AV,7 AV,ON,II,II,2,2,Standard,Standard
558,"MULTILINESTRING ((-74.03724455938051 40.63598546955987, -74.03649979595363 40.635782614328484))",17419,219.522022812,3,72 ST,SHORE RD,COLONIAL RD,ON,II,II,R,1,Standard,
568,"MULTILINESTRING ((-74.0355882774466 40.63976311129304, -74.03438213481152 40.63935514797764))",17458,366.257648101,3,68 ST,3 AV,SHORE RD,ON,II,II,L,1,,Standard
587,"MULTILINESTRING ((-74.02323533354982 40.635318753454754, -74.02072193237268 40.63416900897511))",17638,813.700672129,3,68 STREET,6 AVE,3 AVE,ON,II,II,L,1,,Standard
589,"MULTILINESTRING ((-74.02547192599738 40.63714013761576, -74.02566615285848 40.63666778128511))",17642,180.337489067,3,3 AV,68 ST,66 ST,ON,II,II,R,1,Standard,
594,"MULTILINESTRING ((-74.02320543898213 40.64650249552309, -74.02100273880774 40.64517333112328))",17693,779.834033585,3,57 ST,3 AV,1 AV,ON,III,III,L,1,,Sharrows
602,"MULTILINESTRING ((-74.0191848710569 40.63657561557021, -74.01970390091695 40.636080351364086))",17736,230.8887322,3,5 AV,65 ST,72 ST,ON,III,III,2,2,Sharrows,Sharrows
603,"MULTILINESTRING ((-74.01945720564964 40.64331988643941, -74.01938695624719 40.64327100106501))",17798,26.4059792361,3,58 ST,2 AV,3 AV,ON,III,III,R,1,Sharrows,
605,"MULTILINESTRING ((-74.02100273880774 40.64517333112328, -74.02159802553845 40.6445980518729))",17804,266.867655883,3,2 AV,57 ST,58 ST,ON,III,III,R,1,Sharrows,
609,"MULTILINESTRING ((-74.01560204999838 40.63351697822182, -74.01514630736392 40.63322193811996))",17849,165.99791023,3,66 ST,7 AV,7 AV,ON,I,I,2,2,Protected Path,Protected Path
612,"MULTILINESTRING ((-74.01735110122594 40.6383411497675, -74.0151457496848 40.637014609120826))",17859,779.876575459,3,62 ST,5 AV,7 AV,ON,II,II,R,1,Standard,
613,"MULTILINESTRING ((-74.01606790771707 40.63613845109066, -74.01630548284216 40.635895673763336))",17860,110.323675911,3,6 AV,63 ST,64 ST,ON,II,II,L,1,,Standard
617,"MULTILINESTRING ((-74.01563088763139 40.6537817930793, -74.01343052098335 40.65245378116019))",17938,779.013748729,3,44 ST,1 AV,3 AV,ON,III,III,R,1,Sharrows,
618,"MULTILINESTRING ((-74.02113737190837 40.685139176115015, -74.02191172524041 40.68479145094508))",17971,249.343237604,1,GOVERNORS ISLAND GREENWAY,GOVERNORS ISLAND GREENWAY,GOVERNORS ISLAND GREENWAY,OFF,I,I,2,2,Greenway,Greenway
620,"MULTILINESTRING ((-74.01690346029062 40.678123223461945, -74.0175343141028 40.67759394975627))",18000,260.387938621,3,FERRIS ST,KING ST,VAN DYKE ST,ON,III,III,2,2,Signed Route,Signed Route
623,"MULTILINESTRING ((-74.01665321350805 40.68832443473738, -74.01775242063385 40.68762057316823))",18078,398.359120557,1,OWASCO ROAD,DIV RD,COMFORT RD,OFF,I,I,2,2,Greenway,Greenway
624,"MULTILINESTRING ((-74.01811606676999 40.68793810058974, -74.01843890396422 40.68822213429602))",18005,136.837705952,1,DIV RD,CRAIG RD N,CRAIG RD S,OFF,I,I,2,2,Greenway,Greenway
628,"MULTILINESTRING ((-74.01635375356382 40.687629920648966, -74.01644104367102 40.68776061684515, -74.0165152869213 40.687896611666545, -74.01657571519529 40.688036749889946, -74.01662178037307 40.688179780802834, -74.01665321350805 40.68832443473738))",18012,267.879492886,1,CLAYTON ROAD,CRAIG RD N,KIMMEL RD,OFF,I,I,2,2,Greenway,Greenway
629,"MULTILINESTRING ((-74.01616495143324 40.68739854236551, -74.01704692103556 40.68699000517825))",18013,286.327117457,1,CRAIG RD S,CLAYTON RD,GRESHAM RD,OFF,I,I,2,2,Greenway,Greenway
635,"MULTILINESTRING ((-74.02059170178313 40.69150638235139, -74.02136084001827 40.69077810525667))",18042,340.435701884,1,CRAIG RD N,CLAYTON RD,GRESHAM RD,OFF,I,I,2,2,Greenway,Greenway
641,"MULTILINESTRING ((-74.01936657062804 40.69107071968519, -74.01962797813843 40.6909103570433))",18054,93.1058875399,1,WHEELER AVENUE,HAY RD,DIV RD,OFF,I,I,2,2,Greenway,Greenway
643,"MULTILINESTRING ((-74.0188844381816 40.6927016109071, -74.01887633708725 40.692085561402635))",18058,224.456181084,1,HAY ROAD,CRAIG RD N,CLAYTON RD,OFF,I,I,2,2,Greenway,Greenway
644,"MULTILINESTRING ((-74.0188945852703 40.70696624267436, -74.01850166689033 40.706873734838055))",18067,114.031928844,1,BATTERY PARK CITY GREENWAY,HUDSON RIVER GREENWAY,HUDSON RIVER GREENWAY,OFF,I,I,2,2,Greenway,Greenway
652,"MULTILINESTRING ((-74.01650062360218 40.68830292544188, -74.01671972041855 40.68878868478027))",18081,187.116570744,1,COMFORT ROAD,HAY RD,EVANS RD,OFF,I,I,2,2,Greenway,Greenway
654,"MULTILINESTRING ((-74.01822886951159 40.692671756547725, -74.0188844381816 40.6927016109071))",18092,182.121651485,1,ANDES ROAD,BARRY RD,HAY RD,OFF,I,I,2,2,Greenway,Greenway
655,"MULTILINESTRING ((-74.01691429854318 40.69296295801365, -74.0170610966538 40.69324523813158))",18094,110.606761192,1,CARDER RD,BARRY RD,CRAIG RD N,OFF,I,I,2,2,Greenway,Greenway
657,"MULTILINESTRING ((-74.01542782102348 40.69279170832488, -74.01552236448406 40.69246336589095))",18099,122.464182317,1,FERRY LINE ROAD,ANDES RD,CARDER RD,OFF,I,I,2,2,Greenway,Greenway
660,"MULTILINESTRING ((-74.01771378319857 40.70796871745356, -74.01739796592196 40.70845740998242))",18147,198.410678299,1,SOUTH END AV,W THAMES ST,DEAD END,ON,III,III,2,2,Bike-Friendly Parking,Bike-Friendly Parking
664,"MULTILINESTRING ((-74.00123643150638 40.57205573166129, -74.00236551203776 40.572317487461675))",18262,327.848755351,3,BOARDWALK W,BRIGHTON 15 ST,W 37 ST,OFF,I,I,2,2,Boardwalk,Boardwalk
665,"MULTILINESTRING ((-74.00215998852812 40.57700625200265, -74.00322252718739 40.57688711477139))",18290,298.339699921,3,NEPTUNE AV,W 37 ST,BRIGHTON 8 ST,ON,II,II,L,1,,Standard
684,"MULTILINESTRING ((-73.98342313376065 40.57541478644116, -73.9845190303208 40.575303751602696))",18433,307.115058011,3,SURF AV,OCEAN PKWY,W 17 ST,ON,III,III,L,1,,Signed Route
685,"MULTILINESTRING ((-73.98477359031926 40.57662632266588, -73.9845190303208 40.575303751602696))",18439,487.006939435,3,W 17 ST,NEPTUNE AV,SURF AV,ON,III,III,R,1,Signed Route,
693,"MULTILINESTRING ((-73.98265122846287 40.57685931158406, -73.9823960661754 40.57551347520342))",18475,495.418653847,3,W 15 ST,SURF AV,NEPTUNE AV,ON,III,III,L,1,,Signed Route
694,"MULTILINESTRING ((-74.01001680028966 40.60246991013744, -74.01086777674625 40.60165694052714))",18526,378.901760338,3,BAY 16 ST,CROPSEY AV,SHORE PKWY,ON,II,II,R,1,Standard,
695,"MULTILINESTRING ((-74.00977988991916 40.60386064178184, -74.0107510005733 40.60291607048272))",18536,437.199509176,3,17 AV,17 CT,BATH AV,ON,II,II,L,1,Standard,
696,"MULTILINESTRING ((-74.00919222547869 40.60571451447512, -74.00836913382857 40.60521759649173))",18539,291.566682443,3,BATH AV,14 AV,BAY 19 ST,ON,III,III,2,2,Sharrows,Sharrows
710,"MULTILINESTRING ((-73.99736802610559 40.593974310657764, -73.9965441592738 40.59332180601484))",18690,329.94742346,3,SHORE PKWY,BAY PKWY,BAY 52 ST,ON,I,I,2,2,Protected Path,Protected Path
711,"MULTILINESTRING ((-73.9993192149892 40.596640750424974, -73.99951049453053 40.59644180795163))",18698,89.8615964739,3,BAY PKWY,BATH AV,SHORE PKWY SR S,ON,III,III,R,1,Signed Route,
744,"MULTILINESTRING ((-73.98720976911798 40.583591904361064, -73.98829948277023 40.58346674594842))",18966,306.099922508,3,BAY 52 ST,W 22 ST,SHORE PKWY,ON,III,III,L,1,,Sharrows
767,"MULTILINESTRING ((-74.01522379451202 40.6093563837802, -74.01701910219876 40.607654417338196))",19387,795.59870222,3,14 AV,CROPSEY AV,BATH AV,ON,III,III,2,2,Sharrows,Sharrows
786,"MULTILINESTRING ((-74.0119082382216 40.633234404939415, -74.00970417973765 40.63190485131186))",19468,780.312474174,3,64 ST,7 AV,14 AV,ON,II,II,R,1,Standard,
823,"MULTILINESTRING ((-73.99574265660011 40.62809716418777, -73.99634777210228 40.62751077556933))",20080,271.761344891,3,14 AVE,60 ST,36 ST,ON,III,III,L,1,,Bike-Friendly Parking
833,"MULTILINESTRING ((-73.97969736006631 40.60807736351577, -73.97927640806384 40.6059406206164))",20457,787.196734068,3,W 6 ST,65 ST,86 ST,ON,III,III,2,2,Bike-Friendly Parking,Bike-Friendly Parking
854,"MULTILINESTRING ((-74.01504808386319 40.654362623299875, -74.01284820278137 40.653004252833696))",20652,785.822346564,3,43 ST,2 AV,1 AV,ON,I,I,2,2,Protected Path,Protected Path
884,"MULTILINESTRING ((-74.00507350656797 40.65014666238254, -74.00286693309887 40.64882131086367))",20858,779.789768596,3,41 st,7 AV,5 AV,ON,II,II,L,1,,Standard
890,"MULTILINESTRING ((-74.00124866041276 40.646926029144176, -73.99904773148269 40.64559734573602))",20975,779.336928323,3,42 ST,7 AV,9 AV,ON,II,II,R,1,Standard,
896,"MULTILINESTRING ((-73.99846577863528 40.646159225716865, -73.99626530895449 40.64482654378048))",21093,780.148344414,3,41 ST,7 AV,9 AV,ON,II,II,L,1,,Standard
904,"MULTILINESTRING ((-73.99626530895449 40.64482654378048, -73.99684438401621 40.644265835539976))",21214,259.914104747,3,9 AV,42 ST,37 ST,ON,II,II,L,1,,Standard
909,"MULTILINESTRING ((-73.99392923827537 40.6470693110744, -73.99180823540922 40.645783968531966))",21232,752.146809345,3,37 ST,9 AV,12 AV,ON,II,II,2,2,Standard,Standard
923,"MULTILINESTRING ((-73.98749940581688 40.64404550902445, -73.98673080534894 40.64357399354915))",21332,273.872898776,3,36 ST,12 AV,FT HAMILTON PKWY,ON,II,II,L,1,,Standard
924,"MULTILINESTRING ((-73.98673080534894 40.64357399354915, -73.9873258031832 40.64307484038723))",21333,245.634832837,3,12 AV,37 ST,DAHILL RD,ON,II,II,L,1,,Standard
925,"MULTILINESTRING ((-73.98834986705883 40.64456224357218, -73.98905872428492 40.6441192402828))",21335,254.453933607,3,FT HAMILTON PKWY,36 ST,37 ST,ON,III,III,R,1,Signed Route,
927,"MULTILINESTRING ((-73.9895923821272 40.65813406027243, -73.99018841574721 40.657600817653865))",21337,255.129591512,3,7 AVE,23 ST,22 ST,ON,III,III,L,1,,Sharrows
940,"MULTILINESTRING ((-73.98299419209586 40.641324996653374, -73.98244454209292 40.64153862598354))",21383,171.24984171,3,CHURCH AV,OCEAN PKWY,36 ST,ON,III,III,2,2,Bike-Friendly Parking,Bike-Friendly Parking
948,"MULTILINESTRING ((-73.98119808495055 40.64649581645201, -73.9810561296999 40.645751624046376))",21484,273.976511094,3,DAHILL RD,12 AV,CATON AV,ON,II,II,2,2,Standard,Standard
950,"MULTILINESTRING ((-73.98029115508972 40.647297161517365, -73.97911821923927 40.647428060915146))",21501,328.964610501,3,CATON AV,DAHILL RD,OCEAN PKWY,ON,II,II,R,1,Standard,
951,"MULTILINESTRING ((-73.98145293799375 40.65341633516443, -73.9799255149604 40.654002369421185))",21509,474.561476428,3,TERRACE PL,MCDONALD AVE,19 ST,ON,II,II,R,1,Standard,
952,"MULTILINESTRING ((-73.98007013297442 40.65694013491273, -73.98065287680643 40.65638085855062))",21526,260.11797044,3,10 AVE,PROSPECT PARK SW,18 ST,ON,II,II,R,1,Buffered,
953,"MULTILINESTRING ((-74.01480313637371 40.6757311686027, -74.01542486316471 40.675199008725365))",21555,259.482309681,3,VAN BRUNT ST,REED ST,SUMMIT ST,ON,III,III,2,2,Sharrows,Sharrows
957,"MULTILINESTRING ((-74.00278935446903 40.73939602692736, -74.0025238155258 40.73975264294851))",32283,149.317357211,1,8 AV,BANK ST,W 39 ST,ON,I,I,R,1,Protected Path,
958,"MULTILINESTRING ((-74.01352783036079 40.67869408187785, -74.0150301852926 40.679720247765275))",21572,559.834771805,3,SULLIVAN STREET,CONOVER STREET,FERRIS STREET,ON,II,II,L,1,,Standard
