,BOROUGH,STREET,BIKE_DIR,LANE_COUNT,FT_FACILIT,LATITUDE1,LONGITUDE1,LATITUDE2,LONGITUDE2
664,QUEENS,BOARDWALK W,2,2,Boardwalk,40.572056,-74.001236,40.572317,-74.002366
665,QUEENS,NEPTUNE AV,L,1,,40.577006,-74.00216,40.576887,-74.003223
684,QUEENS,SURF AV,L,1,,40.575415,-73.983423,40.575304,-73.984519
685,QUEENS,W 17 ST,R,1,Signed Route,40.576626,-73.984774,40.575304,-73.984519
693,QUEENS,W 15 ST,L,1,,40.576859,-73.982651,40.575513,-73.982396
694,QUEENS,BAY 16 ST,R,1,Standard,40.60247,-74.010017,40.601657,-74.010868
695,QUEENS,17 AV,L,1,Standard,40.603861,-74.00978,40.602916,-74.010751
696,QUEENS,BATH AV,2,2,Sharrows,40.605715,-74.009192,40.605218,-74.008369
710,QUEENS,SHORE PKWY,2,2,Protected Path,40.593974,-73.997368,40.593322,-73.996544
711,QUEENS,BAY PKWY,R,1,Signed Route,40.596641,-73.999319,40.596442,-73.99951
744,QUEENS,BAY 52 ST,L,1,,40.583592,-73.98721,40.583467,-73.988299
767,QUEENS,14 AV,2,2,Sharrows,40.609356,-74.015224,40.607654,-74.017019
786,QUEENS,64 ST,R,1,Standard,40.633234,-74.011908,40.631905,-74.009704
823,QUEENS,14 AVE,L,1,,40.628097,-73.995743,40.627511,-73.996348
833,QUEENS,W 6 ST,2,2,Bike-Friendly Parking,40.608077,-73.979697,40.605941,-73.979276
854,QUEENS,43 ST,2,2,Protected Path,40.654363,-74.015048,40.653004,-74.012848
884,QUEENS,41 st,L,1,,40.650147,-74.005074,40.648821,-74.002867
890,QUEENS,42 ST,R,1,Standard,40.646926,-74.001249,40.645597,-73.999048
896,QUEENS,41 ST,L,1,,40.646159,-73.998466,40.644827,-73.996265
904,QUEENS,9 AV,L,1,,40.644827,-73.996265,40.644266,-73.996844
909,QUEENS,37 ST,2,2,Standard,40.647069,-73.993929,40.645784,-73.991808
923,QUEENS,36 ST,L,1,,40.644046,-73.987499,40.643574,-73.986731
924,QUEENS,12 AV,L,1,,40.643574,-73.986731,40.643075,-73.987326
925,QUEENS,FT HAMILTON PKWY,R,1,Signed Route,40.644562,-73.98835,40.644119,-73.989059
927,QUEENS,7 AVE,L,1,,40.658134,-73.989592,40.657601,-73.990188
940,QUEENS,CHURCH AV,2,2,Bike-Friendly Parking,40.641325,-73.982994,40.641539,-73.982445
948,QUEENS,DAHILL RD,2,2,Standard,40.646496,-73.981198,40.645752,-73.981056
950,QUEENS,CATON AV,R,1,Standard,40.647297,-73.980291,40.647428,-73.979118
951,QUEENS,TERRACE PL,R,1,Standard,40.653416,-73.981453,40.654002,-73.979926
952,QUEENS,10 AVE,R,1,Buffered,40.65694,-73.98007,40.656381,-73.980653
953,QUEENS,VAN BRUNT ST,2,2,Sharrows,40.675731,-74.014803,40.675199,-74.015425
957,MANHATTAN,8 AV,R,1,Protected Path,40.739396,-74.002789,40.739753,-74.002524
958,QUEENS,SULLIVAN STREET,L,1,,40.678694,-74.013528,40.67972,-74.01503
960,QUEENS,CONOVER ST,L,1,,40.679226,-74.012904,40.678694,-74.013528
961,QUEENS,KING ST,R,1,Standard,40.679226,-74.012904,40.680253,-74.014403
966,QUEENS,COLUMBIA ST,2,2,Sharrows,40.671968,-74.008983,40.671758,-74.009128
972,QUEENS,PIONEER STREET,2,2,Sidewalk,40.679365,-74.011699,40.679738,-74.012262
975,QUEENS,IMLAY STREET,2,2,Sidewalk,40.680431,-74.010452,40.679365,-74.011699
977,QUEENS,IMLAY ST,2,2,Protected Path,40.681496,-74.0092,40.680431,-74.010452
992,QUEENS,UNION ST,R,1,Standard,40.684995,-74.005179,40.684391,-74.00301
994,QUEENS,SACKETT STREET,L,1,,40.685668,-74.004852,40.685062,-74.002686
998,QUEENS,CLINTON ST,L,1,,40.672534,-74.00291,40.671852,-74.003242
1001,QUEENS,COURT ST,2,2,Sharrows,40.671976,-74.000899,40.671313,-74.00122
1002,QUEENS,CREAMER ST,R,1,Sharrows,40.671976,-74.000899,40.671627,-73.999659
1008,QUEENS,SMITH ST,L,1,,40.671627,-73.999659,40.67098,-73.999963
1010,QUEENS,LORRAINE ST,L,1,,40.672618,-74.000595,40.672273,-73.999347
1018,QUEENS,W 9 ST,L,1,,40.675556,-74.000674,40.675201,-73.999352
1019,QUEENS,GARNET STREET,R,1,Curbside,40.674688,-74.000136,40.674554,-73.999661
1024,QUEENS,9 ST,2,2,Sharrows,40.674741,-73.99777,40.674143,-73.99666
1030,QUEENS,2 PL,L,1,,40.680054,-73.99927,40.679502,-73.997283
1035,QUEENS,HENRY ST,R,1,Signed Route,40.684145,-73.999401,40.683473,-73.999726
1058,QUEENS,3 ST,2,2,Sharrows,40.678837,-73.995794,40.677842,-73.993725
1097,QUEENS,HOYT ST,R,1,Sharrows,40.678479,-73.993295,40.677842,-73.993725
1101,QUEENS,BOND STREET,L,1,,40.67755,-73.99137,40.676946,-73.991872
1121,QUEENS,BERGEN ST,L,1,,40.687824,-73.993268,40.687314,-73.99194
1124,QUEENS,BOERUM PL,R,1,Standard,40.687958,-73.991509,40.687314,-73.99194
1125,QUEENS,DEAN ST,R,1,Sharrows,40.687958,-73.991509,40.687365,-73.990035
1131,QUEENS,15 ST,L,1,,40.665566,-73.989313,40.664425,-73.986951
1133,QUEENS,14 ST,R,1,Standard,40.66617,-73.988809,40.665028,-73.986449
1145,QUEENS,UNION ST BR,2,2,Standard,40.679946,-73.989559,40.679537,-73.988505
1149,QUEENS,NEVINS ST,R,1,Sharrows,40.679744,-73.98696,40.679104,-73.987393
1154,QUEENS,DE GRAW ST,L,1,,40.680373,-73.986533,40.679612,-73.984569
1202,QUEENS,SCHERMERHORN ST,2,2,Standard,40.688175,-73.983988,40.68733,-73.981817
1205,QUEENS,PROSPECT PARK W,R,1,Sharrows,40.661243,-73.979654,40.661252,-73.979677
1218,QUEENS,2 ST,L,1,,40.673399,-73.982781,40.672256,-73.980418
1226,QUEENS,BERKELEY PL,R,1,Standard,40.677049,-73.980032,40.676073,-73.977531
1228,QUEENS,LINCOLN PL,L,1,,40.67768,-73.979598,40.676707,-73.977102
1232,QUEENS,LAFAYETTE AV,R,1,Curbside,40.686647,-73.979811,40.686682,-73.979363
1234,MANHATTAN,BARRY ROAD,2,2,Greenway,40.688128,-74.014417,40.687953,-74.014666
1237,MANHATTAN,WILLIAM ST,R,1,Standard,40.70734,-74.008645,40.707722,-74.008269
1238,MANHATTAN,KIMMEL RD,2,2,Greenway,40.691267,-74.012766,40.691026,-74.012607
1239,MANHATTAN,PEARL ST,L,1,,40.703151,-74.01443,40.7031,-74.012998
1240,MANHATTAN,BRIDGE ST,R,1,Sharrows,40.703599,-74.014392,40.703587,-74.013113
1245,MANHATTAN,BROADWAY,L,1,,40.705871,-74.013254,40.706767,-74.012508
1253,MANHATTAN,OLD SLIP,R,1,Curbside,40.704085,-74.008988,40.703698,-74.008542
1257,MANHATTAN,SOUTH WILLIAM ST,L,1,,40.705148,-74.009984,40.704763,-74.010327
1258,MANHATTAN,HANOVER SQ,L,1,,40.704775,-74.009746,40.704528,-74.009455
1264,MANHATTAN,CHURCH ST,R,1,Sharrows,40.709687,-74.011674,40.710367,-74.011231
1276,MANHATTAN,W BROADWAY,L,1,,40.714951,-74.00969,40.71552,-74.009239
1278,MANHATTAN,WARREN ST,L,1,,40.714362,-74.008387,40.714951,-74.00969
1286,MANHATTAN,PLATT ST,R,1,Sharrows,40.707858,-74.006838,40.707206,-74.005951
1289,MANHATTAN,GOLD ST,L,1,,40.707858,-74.006838,40.708227,-74.006531
1295,MANHATTAN,CENTRE ST,2,2,Protected Path,40.71217,-74.005589,40.712204,-74.00543
1296,MANHATTAN,SPRUCE ST,R,1,Standard,40.710977,-74.005094,40.710166,-74.004253
1298,MANHATTAN,READE ST,R,1,Standard,40.715433,-74.007544,40.716014,-74.008823
1302,MANHATTAN,DOVER ST,R,1,,40.709523,-74.001665,40.708791,-74.00086
1307,QUEENS,CONGRESS ST,R,1,Standard,40.689659,-74.000468,40.689275,-73.999125
1311,MANHATTAN,E BROADWAY,2,2,Standard,40.713679,-73.997994,40.713658,-73.997977
1313,MANHATTAN,CATHERINE ST,R,1,Sharrows,40.713468,-73.9973,40.7128,-73.997117
1319,QUEENS,PACIFIC ST,L,1,,40.690104,-73.996548,40.689583,-73.994678
1336,QUEENS,OLD FULTON ST,2,2,Standard,40.702994,-73.994709,40.702886,-73.994383
1338,MANHATTAN,MADISON ST,2,2,Sharrows,40.712072,-73.996947,40.712308,-73.994361
1340,MANHATTAN,MARKET SLIP,2,2,Buffered,40.710087,-73.994102,40.709485,-73.994022
1342,QUEENS,AV W,2,2,Sharrows,40.595189,-73.947663,40.595291,-73.946738
1343,MANHATTAN,MARKET ST,L,1,,40.711593,-73.994265,40.711593,-73.994265
1347,MANHATTAN,FORSYTH ST,L,1,,40.715033,-73.994549,40.715621,-73.994272
1351,MANHATTAN,ELDRIDGE ST,R,1,Sharrows,40.714291,-73.99395,40.715355,-73.993401
1363,QUEENS,CLARK ST,2,2,Signed Route,40.697462,-73.993018,40.697226,-73.992123
1368,QUEENS,YORK ST,L,1,,40.702564,-73.991746,40.702479,-73.991688
1369,MANHATTAN,CANAL ST,2,2,Standard,40.715355,-73.993401,40.715621,-73.994272
1371,MANHATTAN,PIKE ST,R,1,Sharrows,40.714356,-73.993016,40.713831,-73.992944
1376,MANHATTAN,ALLEN ST,L,1,,40.715113,-73.992599,40.716236,-73.992014
1384,MANHATTAN,RUTGERS ST,R,1,Sharrows,40.714405,-73.99022,40.714053,-73.990189
1390,QUEENS,JAY ST,2,2,Sharrows,40.692234,-73.987299,40.691458,-73.987348
1393,QUEENS,MYRTLE AVE,2,2,Sidewalk,40.6938,-73.987228,40.693754,-73.986193
1398,QUEENS,PROSPECT STREET,2,2,Sharrows,40.700735,-73.98973,40.700712,-73.988818
1404,QUEENS,SANDS ST,R,1,Standard,40.700009,-73.988335,40.69998,-73.987787
1406,QUEENS,PROSPECT ST,R,1,Curbside,40.700634,-73.986923,40.700633,-73.986794
1410,QUEENS,WASHINGTON ST,2,2,Signed Route,40.702523,-73.989623,40.701628,-73.989679
1415,QUEENS,JOHN ST,L,1,,40.70446,-73.987509,40.704413,-73.98657
1426,QUEENS,BOND ST,R,1,Curbside,40.688786,-73.983573,40.688175,-73.983988
1429,QUEENS,JAY ST GREENWAY,2,2,Greenway,40.700629,-73.986625,40.70022,-73.986388
1430,MANHATTAN,MONTGOMERY ST,2,2,Standard,40.711229,-73.984784,40.710702,-73.984703
1435,MANHATTAN,SAMUEL DICKSTEIN PLZ,2,2,Protected Path,40.713787,-73.985114,40.714512,-73.984707
1438,MANHATTAN,GRAND ST,2,2,Standard,40.715438,-73.985012,40.71521,-73.984259
1440,QUEENS,DE KALB AV,L,1,,40.6899,-73.980429,40.689863,-73.97951
1442,QUEENS,MYRTLE AV,R,1,Standard,40.693557,-73.980983,40.693524,-73.980113
1444,QUEENS,NAVY ST,2,2,Curbside,40.696263,-73.980371,40.696178,-73.980357
1446,QUEENS,PARK AVENUE,R,1,Bike-Friendly Parking,40.696172,-73.979537,40.696159,-73.978873
1447,QUEENS,NASSAU ST,2,2,Standard,40.698247,-73.980544,40.698138,-73.978089
1452,MANHATTAN,LEWIS ST,R,1,Sharrows,40.713973,-73.979962,40.71489,-73.979496
1459,QUEENS,BOARDWALK E,2,2,Boardwalk,40.574531,-73.969128,40.574882,-73.967567
1498,QUEENS,AV X,2,2,Standard,40.592308,-73.954223,40.592413,-73.95326
1499,QUEENS,EMMONS AV,2,2,Signed Route,40.583174,-73.953438,40.583254,-73.952507
1517,QUEENS,BEDFORD AV,2,2,Standard,40.602162,-73.947058,40.599909,-73.946632
1534,QUEENS,AV H,2,2,Sharrows,40.629113,-73.970001,40.629232,-73.968929
1546,QUEENS,OCEAN AVENUE,2,2,Sharrows,40.632897,-73.957745,40.630512,-73.957299
1548,QUEENS,CAMPUS RD,L,1,,40.63059,-73.956626,40.630637,-73.956632
1550,QUEENS,E 23 ST,R,1,Sharrows,40.631944,-73.954619,40.631531,-73.954573
1558,QUEENS,AV I,2,2,Signed Route,40.628646,-73.952069,40.62875,-73.951106
1573,QUEENS,GERRITSEN AV,2,2,Bike-Friendly Parking,40.609347,-73.943547,40.608268,-73.942312
1588,QUEENS,11 AVE,L,1,,40.655607,-73.977873,40.655037,-73.978468
1594,QUEENS,BEVERLEY RD,2,2,Sharrows,40.643305,-73.974096,40.643336,-73.973814
1599,QUEENS,CATON AVE,2,2,Bike-Friendly Parking,40.647596,-73.973504,40.647581,-73.973388
1602,QUEENS,OCEAN PKWY,2,2,Curbside,40.65024,-73.973649,40.650172,-73.973822
1603,QUEENS,PROSPECT PARK SW,L,1,,40.654649,-73.973266,40.653913,-73.973051
1609,QUEENS,W LAKE DR,R,1,Greenway,40.657688,-73.973051,40.657473,-73.973106
1619,QUEENS,S LAKE DR,L,1,,40.652754,-73.968769,40.65262,-73.968925
1622,QUEENS,CENTER DR,2,2,Greenway,40.658938,-73.971753,40.659754,-73.971165
1624,QUEENS,ARGYLE RD,L,1,,40.634684,-73.965083,40.633231,-73.964802
1637,QUEENS,WELL HOUSE DR,2,2,Greenway,40.658301,-73.96828,40.658288,-73.968464
1647,QUEENS,E LAKE DR,L,1,,40.658071,-73.963259,40.65748,-73.962921
1648,QUEENS,P P LINCOLN RD APPR,2,2,Greenway,40.660114,-73.963907,40.6604,-73.963331
1649,QUEENS,LINCOLN RD,2,2,Sharrows,40.660509,-73.962813,40.660656,-73.962078
1663,QUEENS,MAPLE ST,R,1,Standard,40.660205,-73.960622,40.660442,-73.956876
1664,QUEENS,FLATBUSH AV,R,1,Curbside,40.638878,-73.954044,40.638495,-73.953942
1669,QUEENS,CLARENDON RD,2,2,Standard,40.642689,-73.957636,40.642771,-73.956425
1693,QUEENS,FOSTER AV,R,1,Curbside,40.638495,-73.953942,40.638586,-73.953749
1711,QUEENS,WEST DR,R,1,Greenway,40.660749,-73.977434,40.660693,-73.97738
1738,QUEENS,4 AV,2,2,Curbside,40.684857,-73.978043,40.684423,-73.978389
1741,QUEENS,ASHLAND PL,2,2,Sharrows,40.686819,-73.978198,40.685077,-73.977894
1751,QUEENS,P P 3 ST APPR,2,2,Greenway,40.667938,-73.972929,40.66795,-73.973092
1767,QUEENS,PARK PL,R,1,Sharrows,40.677716,-73.973248,40.677523,-73.972716
1769,QUEENS,CARLTON AV,L,1,,40.677447,-73.972347,40.677162,-73.972445
1777,QUEENS,CUMBERLAND ST,R,1,Standard,40.687415,-73.972687,40.685953,-73.972398
1779,QUEENS,EAST DR,L,1,,40.669762,-73.968755,40.669655,-73.968864
1784,QUEENS,CLERMONT AV,R,1,Standard,40.686288,-73.969489,40.684157,-73.969062
1785,QUEENS,CLASSON AVE,L,1,,40.673999,-73.960393,40.673121,-73.96071
1788,QUEENS,PLAZA ST W,2,2,Protected Path,40.672713,-73.970879,40.672647,-73.970407
1791,QUEENS,ST JOHNS PL,2,2,Standard,40.673927,-73.968717,40.674433,-73.966936
1794,QUEENS,PLAZA ST E,2,2,Standard,40.675237,-73.971049,40.675316,-73.970955
1797,QUEENS,STERLING PL,L,1,,40.675906,-73.969497,40.675493,-73.967519
1809,QUEENS,FULTON ST,R,1,Sharrows,40.684157,-73.969062,40.684101,-73.968922
1840,QUEENS,P P FLATBUSH AV APPR,2,2,Greenway,40.663538,-73.963505,40.663391,-73.963754
1844,QUEENS,WASHINGTON AV,2,2,Sharrows,40.672773,-73.962788,40.672601,-73.962753
1860,QUEENS,FRANKLIN AVE,R,1,Bike-Friendly Parking,40.664109,-73.960337,40.663303,-73.960615
1892,QUEENS,EMPIRE BLVD,2,2,Standard,40.663517,-73.957209,40.663728,-73.953849
1898,QUEENS,FRANKLIN AVENUE,R,1,Sharrows,40.672414,-73.957339,40.671536,-73.957657
1915,QUEENS,FRANKLIN AV,R,1,Standard,40.677576,-73.955475,40.676807,-73.95575
1925,QUEENS,BEDFORD AVE,L,1,,40.684313,-73.9541,40.683581,-73.953955
1957,QUEENS,E NEW YORK AV,L,1,,40.661746,-73.947832,40.661881,-73.945565
1975,QUEENS,BROOKLYN AVENUE,R,1,Sharrows,40.671337,-73.944795,40.670504,-73.944872
1985,QUEENS,TOMPKINS AV,R,1,Standard,40.681774,-73.943601,40.681047,-73.943448
2000,QUEENS,FLUSHING AV,2,2,Standard,40.698138,-73.978089,40.698116,-73.977531
2003,MANHATTAN,F D R DR,L,1,,40.712408,-73.978017,40.713254,-73.977587
2011,QUEENS,WASHINGTON PARK,R,1,Standard,40.691708,-73.97354,40.689622,-73.973126
2012,QUEENS,WILLOUGHBY AV,R,1,Standard,40.691708,-73.97354,40.691679,-73.972553
2017,QUEENS,PARK AV,R,1,Bike-Friendly Parking,40.695962,-73.974246,40.695934,-73.973408
2047,QUEENS,KENT AV,2,2,Protected Path,40.71082,-73.968524,40.710045,-73.968522
2067,QUEENS,WYTHE AV,R,1,Sharrows,40.707002,-73.967289,40.706284,-73.967021
2068,QUEENS,DIVISION AV,L,1,,40.707002,-73.967289,40.707244,-73.965932
2076,QUEENS,BERRY ST,L,1,,40.707488,-73.966059,40.707244,-73.965932
2079,QUEENS,S 5 ST,R,1,Standard,40.712597,-73.967732,40.712057,-73.966143
2086,QUEENS,S 4 ST,L,1,,40.712861,-73.965782,40.712459,-73.964463
2116,QUEENS,DRIGGS AV,R,1,Standard,40.711349,-73.961421,40.710737,-73.961809
2142,QUEENS,S 5 PL,2,3,Protected Path,40.711038,-73.96058,40.710472,-73.960938
2145,QUEENS,ROEBLING ST,L,1,,40.711424,-73.959533,40.710787,-73.959943
2146,QUEENS,S 3 ST,R,1,Standard,40.711424,-73.959533,40.710864,-73.958004
2147,QUEENS,SOUTH 4 ST,L,1,,40.710096,-73.957964,40.709758,-73.957062
2173,QUEENS,SOUTH 3 ST,R,1,Standard,40.709949,-73.955499,40.709521,-73.954325
2176,QUEENS,BORINQUEN PL,2,2,Sharrows,40.710588,-73.955098,40.710594,-73.954735
2178,QUEENS,N 5 ST,R,1,Standard,40.715145,-73.956369,40.714326,-73.955057
2179,QUEENS,METROPOLITAN AV,R,1,Standard,40.714073,-73.955329,40.714075,-73.954656
2180,QUEENS,HAVEMEYER ST,R,1,Standard,40.714326,-73.955057,40.714073,-73.955329
2182,QUEENS,N 6 ST,L,1,,40.71488,-73.95446,40.714184,-73.953353
2187,QUEENS,NOSTRAND AV,L,1,,40.693526,-73.952194,40.693419,-73.952172
2190,QUEENS,UNION AV,2,2,Standard,40.706653,-73.950406,40.707391,-73.95053
2199,QUEENS,MESEROLE ST,L,1,,40.707391,-73.95053,40.707597,-73.948303
2210,QUEENS,MEEKER AV,R,1,Standard,40.71407,-73.953485,40.714184,-73.953353
2220,QUEENS,HARRISON AV,R,1,Standard,40.701594,-73.948747,40.701029,-73.948117
