CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/09/2021,17:00,MANHATTAN,10019,40.76551,-73.97795,"(40.76551, -73.97795)",,,140       WEST 58 STREET,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4485153,Taxi,Bike,,,
09/11/2021,19:00,,,40.804585,-73.94782,"(40.804585, -73.94782)",WEST 120 STREET,,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4456758,Taxi,Bike,,,
09/11/2021,12:55,MANHATTAN,10012,40.724846,-73.999,"(40.724846, -73.999)",,,101       PRINCE STREET,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Other Vehicular,,,,4455841,Station Wagon/Sport Utility Vehicle,Bike,,,
07/04/2021,21:00,BROOKLYN,11222,40.732006,-73.95795,"(40.732006, -73.95795)",FRANKLIN STREET,INDIA STREET,,1,0,0,0,1,0,0,0,Alcohol Involvement,Unspecified,,,,4456577,Sedan,E-Bike,,,
09/07/2021,8:03,STATEN ISLAND,10301,40.634007,-74.07516,"(40.634007, -74.07516)",,,331       BAY STREET,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4456768,E-Bike,Sedan,,,
07/08/2021,13:26,BROOKLYN,11222,40.731613,-73.9545,"(40.731613, -73.9545)",MANHATTAN AVENUE,JAVA STREET,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4456595,Pick-up Truck,Bike,,,
09/11/2021,11:25,BRONX,10468,40.868164,-73.90054,"(40.868164, -73.90054)",,,79        WEST KINGSBRIDGE ROAD,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4456235,Sedan,Bike,,,
07/09/2021,12:30,BRONX,10467,40.87037,-73.87052,"(40.87037, -73.87052)",,,2970      BRONX PARK EAST,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4456710,E-Bike,E-Bike,,,
09/08/2021,10:10,,,40.79293,-73.950005,"(40.79293, -73.950005)",EAST 105 STREET,,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Failure to Yield Right-of-Way,,,,4456798,Sedan,Bike,,,
04/16/2021,11:00,QUEENS,11368,40.74958,-73.86541,"(40.74958, -73.86541)",,,100-10    ROOSEVELT AVENUE,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4407792,Station Wagon/Sport Utility Vehicle,Bike,,,
04/14/2021,0:00,,,40.601864,-74.00232,"(40.601864, -74.00232)",BATH AVENUE,,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4407649,Station Wagon/Sport Utility Vehicle,Bike,,,
04/13/2021,17:55,BRONX,10452,40.844105,-73.923065,"(40.844105, -73.923065)",GRANT HIGHWAY,UNIVERSITY AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4407789,Station Wagon/Sport Utility Vehicle,Bike,,,
04/14/2021,19:45,BROOKLYN,11201,40.69484,-73.98391,"(40.69484, -73.98391)",FLATBUSH AVENUE EXTENSION,JOHNSON STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4407414,Sedan,Bike,,,
04/16/2021,0:30,QUEENS,11369,40.75868,-73.87552,"(40.75868, -73.87552)",93 STREET,32 AVENUE,,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,4407714,Sedan,Bike,,,
04/15/2021,15:10,QUEENS,11101,,,,REVIEW AVENUE,RAILROAD AVENUE,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4407615,Bike,Station Wagon/Sport Utility Vehicle,,,
07/08/2021,16:45,BROOKLYN,11211,40.715702,-73.95579,"(40.715702, -73.95579)",ROEBLING STREET,NORTH 6 STREET,,1,0,0,0,1,0,0,0,View Obstructed/Limited,View Obstructed/Limited,,,,4456635,Sedan,Bike,,,
04/16/2021,8:30,,,40.759163,-73.988396,"(40.759163, -73.988396)",8 AVENUE,,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4408258,Sedan,Bike,,,
04/14/2021,15:05,BROOKLYN,11201,40.69349,-73.97917,"(40.69349, -73.97917)",MYRTLE AVENUE,ASHLAND PLACE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4407647,Station Wagon/Sport Utility Vehicle,Bike,,,
04/16/2021,18:40,,,40.748436,-73.984566,"(40.748436, -73.984566)",5 AVENUE,,,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,,,,4408250,Sedan,E-Bike,,,
04/16/2021,15:45,BROOKLYN,11222,40.731422,-73.94641,"(40.731422, -73.94641)",GREENPOINT AVENUE,HUMBOLDT STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4408331,Sedan,Bike,,,
04/16/2021,15:12,BROOKLYN,11238,40.68836,-73.96444,"(40.68836, -73.96444)",,,284       LAFAYETTE AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4407857,Sedan,Bike,,,
04/15/2021,1:20,,,40.76122,-73.93056,"(40.76122, -73.93056)",CRESCENT STREET,,,1,0,0,0,1,0,0,0,Unspecified,,,,,4408076,Bike,,,,
04/14/2021,13:07,BROOKLYN,11206,40.700485,-73.93637,"(40.700485, -73.93637)",BUSHWICK AVENUE,GARDEN STREET,,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4407353,Bike,Station Wagon/Sport Utility Vehicle,,,
04/14/2021,10:16,,,,,,Leonard street,Wallabout Street,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4407390,Station Wagon/Sport Utility Vehicle,Bike,,,
04/08/2021,17:25,,,40.810173,-73.95117,"(40.810173, -73.95117)",WEST 125 STREET,,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4407775,Bike,,,,
04/16/2021,20:17,BRONX,10451,40.827824,-73.91934,"(40.827824, -73.91934)",SHERMAN AVENUE,EAST 163 STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4408197,E-Bike,Sedan,,,
04/02/2021,22:20,BROOKLYN,11206,40.696983,-73.935234,"(40.696983, -73.935234)",MYRTLE AVENUE,BROADWAY,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4408226,Station Wagon/Sport Utility Vehicle,E-Bike,,,
04/14/2021,18:14,BRONX,10464,40.855873,-73.79149,"(40.855873, -73.79149)",,,636       CITY ISLAND AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4408400,Sedan,Bike,,,
04/16/2021,16:55,QUEENS,11370,40.758156,-73.89627,"(40.758156, -73.89627)",31 AVENUE,71 STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4407920,Sedan,Bike,,,
04/15/2021,8:00,QUEENS,11426,40.73444,-73.72179,"(40.73444, -73.72179)",COMMONWEALTH BOULEVARD,HILLSIDE AVENUE,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4407863,Pick-up Truck,E-Bike,,,
04/14/2021,0:27,,,40.852673,-73.919106,"(40.852673, -73.919106)",SEDGWICK AVENUE,UNDERCLIFF AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4407161,Bike,,,,
04/14/2021,20:00,BROOKLYN,11226,40.65319,-73.96622,"(40.65319, -73.96622)",PARKSIDE AVENUE,PARADE PLACE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4408031,Bike,Sedan,,,
04/15/2021,19:15,BROOKLYN,11209,40.633514,-74.026955,"(40.633514, -74.026955)",72 STREET,3 AVENUE,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4407687,Sedan,Bike,,,
04/14/2021,21:00,BROOKLYN,11235,40.581745,-73.95384,"(40.581745, -73.95384)",SHORE BOULEVARD,WEST END AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4407426,Sedan,Bike,,,
09/11/2021,18:30,QUEENS,11368,40.734863,-73.862656,"(40.734863, -73.862656)",,,96-05     HORACE HARDING EXPRESSWAY,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4456187,Bike,Sedan,,,
07/08/2021,13:30,BROOKLYN,11215,40.67506,-73.98139,"(40.67506, -73.98139)",,,241       5 AVENUE,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Failure to Yield Right-of-Way,,,,4456652,Station Wagon/Sport Utility Vehicle,Bike,,,
09/11/2021,14:00,,,40.69613,-73.987114,"(40.69613, -73.987114)",JAY STREET,,,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,,,,4455957,Station Wagon/Sport Utility Vehicle,Bike,,,
09/11/2021,15:00,BRONX,10457,40.843822,-73.892494,"(40.843822, -73.892494)",EAST 176 STREET,CROTONA AVENUE,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4456401,Station Wagon/Sport Utility Vehicle,Bike,,,
09/08/2021,16:40,,,40.80777,-73.94549,"(40.80777, -73.94549)",WEST 125 STREET,,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4456766,Bike,Sedan,,,
09/11/2021,15:20,BROOKLYN,11207,40.659832,-73.897606,"(40.659832, -73.897606)",NEW LOTS AVENUE,HINSDALE STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4456324,Bike,Sedan,,,
07/04/2021,13:14,QUEENS,11691,40.595802,-73.764656,"(40.595802, -73.764656)",SEAGIRT BOULEVARD,BEACH 32 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4456702,Station Wagon/Sport Utility Vehicle,Bike,,,
09/11/2021,20:33,BROOKLYN,11249,40.71082,-73.96853,"(40.71082, -73.96853)",BROADWAY,KENT AVENUE,,1,0,0,0,1,0,0,0,Tire Failure/Inadequate,,,,,4456942,Bike,,,,
07/09/2021,5:25,,,40.828346,-73.94906,"(40.828346, -73.94906)",BROADWAY,,,1,0,0,0,1,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,4456643,E-Bike,,,,
09/11/2021,15:40,BROOKLYN,11217,40.68249,-73.97962,"(40.68249, -73.97962)",4 AVENUE,BERGEN STREET,,2,0,1,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4455982,Station Wagon/Sport Utility Vehicle,Bike,,,
09/11/2021,0:35,MANHATTAN,10029,40.800262,-73.94554,"(40.800262, -73.94554)",,,24        EAST 116 STREET,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unsafe Speed,,,,4456542,Sedan,E-Bike,,,
07/09/2021,10:06,BROOKLYN,11229,40.602886,-73.952095,"(40.602886, -73.952095)",,,2408      OCEAN AVENUE,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,,,,4456708,Station Wagon/Sport Utility Vehicle,Bike,,,
09/07/2021,11:00,QUEENS,11418,40.69962,-73.82122,"(40.69962, -73.82122)",,,89-02     130 STREET,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4456856,Station Wagon/Sport Utility Vehicle,Bike,,,
03/26/2022,23:23,,,40.793472,-73.93726,"(40.793472, -73.93726)",1 AVENUE,,,1,0,0,0,1,0,0,0,Unspecified,,,,,4513898,E-Bike,,,,
03/30/2021,18:20,,,40.763374,-73.99647,"(40.763374, -73.99647)",WEST 46 STREET,,,2,0,1,0,1,0,0,0,Failure to Yield Right-of-Way,,,,,4408761,Bike,,,,
03/30/2021,11:42,BROOKLYN,11234,40.610443,-73.93462,"(40.610443, -73.93462)",FILLMORE AVENUE,EAST 34 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4403283,Sedan,Bike,,,
04/17/2021,21:25,QUEENS,11101,40.74525,-73.95575,"(40.74525, -73.95575)",47 ROAD,5 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4408018,Sedan,Bike,,,
04/17/2021,19:37,MANHATTAN,10012,40.724968,-74.00158,"(40.724968, -74.00158)",,,415       WEST BROADWAY,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4408181,Sedan,Bike,,,
04/16/2021,10:00,MANHATTAN,10019,40.764626,-73.99555,"(40.764626, -73.99555)",11 AVENUE,WEST 48 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4408438,Station Wagon/Sport Utility Vehicle,Bike,,,
03/22/2022,17:44,MANHATTAN,10024,40.783146,-73.97833,"(40.783146, -73.97833)",AMSTERDAM AVENUE,WEST 79 STREET,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,,,,4514301,Bike,Sedan,,,
03/26/2022,1:15,QUEENS,11101,40.74456,-73.93076,"(40.74456, -73.93076)",QUEENS BOULEVARD,34 STREET,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4513550,Station Wagon/Sport Utility Vehicle,Bike,,,
12/08/2021,12:27,MANHATTAN,10023,40.774227,-73.98112,"(40.774227, -73.98112)",WEST 67 STREET,COLUMBUS AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4485027,Bike,Station Wagon/Sport Utility Vehicle,,,
03/24/2022,12:15,BROOKLYN,11204,40.61578,-73.99995,"(40.61578, -73.99995)",NEW UTRECHT AVENUE,BAY RIDGE PARKWAY,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4514196,Sedan,Bike,,,
03/14/2022,14:05,MANHATTAN,10036,40.756035,-73.98695,"(40.756035, -73.98695)",7 AVENUE,WEST 42 STREET,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4514276,Sedan,Bike,,,
03/26/2022,17:59,,,40.647243,-73.96048,"(40.647243, -73.96048)",ALBEMARLE ROAD,,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4513704,Sedan,Bike,,,
03/15/2022,17:00,,,40.676598,-73.93039,"(40.676598, -73.93039)",PACIFIC STREET,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514328,Station Wagon/Sport Utility Vehicle,Bike,,,
03/26/2022,17:29,,,40.69925,-73.973206,"(40.69925, -73.973206)",6 STREET,7 AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4513683,Sedan,Bike,,,
12/06/2021,18:43,BROOKLYN,11207,40.68366,-73.90788,"(40.68366, -73.90788)",BUSHWICK AVENUE,PILLING STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,4485310,Sedan,Bike,,,
09/12/2021,1:50,QUEENS,11104,40.746353,-73.91617,"(40.746353, -73.91617)",48 STREET,SKILLMAN AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4455936,Sedan,Bike,,,
09/11/2021,2:21,BROOKLYN,11212,40.654133,-73.91234,"(40.654133, -73.91234)",LINDEN BOULEVARD,ROCKAWAY PARKWAY,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4457184,Sedan,Bike,,,
09/12/2021,19:47,QUEENS,11421,40.69756,-73.85275,"(40.69756, -73.85275)",PARK LANE SOUTH,WOODHAVEN BOULEVARD,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4457214,Sedan,Bike,,,
04/18/2021,19:00,BROOKLYN,11217,40.67931,-73.9785,"(40.67931, -73.9785)",,,109       5 AVENUE,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,,,,4409065,Station Wagon/Sport Utility Vehicle,Bike,,,
04/17/2021,11:35,,,40.732254,-73.99636,"(40.732254, -73.99636)",WEST 8 STREET,,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4409058,Bike,Bike,,,
04/14/2021,12:40,,,40.790623,-73.942444,"(40.790623, -73.942444)",2 AVENUE,,,1,0,0,0,1,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,4408905,Bike,,,,
04/18/2021,12:38,,,40.652954,-74.00215,"(40.652954, -74.00215)",5 AVENUE,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4408248,Station Wagon/Sport Utility Vehicle,Bike,,,
09/12/2021,13:19,QUEENS,11103,40.758602,-73.91379,"(40.758602, -73.91379)",45 STREET,NEWTOWN ROAD,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4456444,Sedan,Bike,,,
09/12/2021,23:40,BROOKLYN,11220,40.637756,-74.00721,"(40.637756, -74.00721)",56 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4457149,Station Wagon/Sport Utility Vehicle,Bike,,,
09/11/2021,21:49,,,40.638523,-73.97319,"(40.638523, -73.97319)",OCEAN PARKWAY,,,2,0,0,0,1,0,1,0,Unspecified,Unspecified,,,,4457183,Minicycle,Bike,,,
09/09/2021,21:00,MANHATTAN,10036,40.757385,-73.98226,"(40.757385, -73.98226)",AVENUE OF THE AMERICAS,WEST 46 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4457047,Sedan,Bike,,,
09/12/2021,0:40,BROOKLYN,11228,40.61894,-74.02201,"(40.61894, -74.02201)",86 STREET,BATTERY AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4455975,Sedan,Bike,,,
09/12/2021,13:30,QUEENS,11372,40.74662,-73.89359,"(40.74662, -73.89359)",72 STREET,ROOSEVELT AVENUE,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4456334,E-Bike,Sedan,,,
09/12/2021,18:43,QUEENS,11004,40.738365,-73.71261,"(40.738365, -73.71261)",256 STREET,83 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4456342,Station Wagon/Sport Utility Vehicle,Bike,,,
09/12/2021,0:00,,,40.814632,-73.9442,"(40.814632, -73.9442)",WEST 134 STREET,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,4456448,Sedan,Bike,,,
09/12/2021,19:51,QUEENS,11367,40.728283,-73.82941,"(40.728283, -73.82941)",JEWEL AVENUE,136 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4456826,Sedan,Bike,,,
09/10/2021,17:15,QUEENS,11385,40.700497,-73.90021,"(40.700497, -73.90021)",FOREST AVENUE,MYRTLE AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4457238,Sedan,Bike,,,
09/12/2021,14:30,BROOKLYN,11234,40.629353,-73.884766,"(40.629353, -73.884766)",,,2200      ROCKAWAY PARKWAY,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4456504,Station Wagon/Sport Utility Vehicle,Bike,,,
09/12/2021,21:37,MANHATTAN,10019,40.76788,-73.9815,"(40.76788, -73.9815)",COLUMBUS CIRCLE,CENTRAL PARK SOUTH,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4457049,Box Truck,Bike,,,
09/12/2021,16:13,BROOKLYN,11214,40.592403,-73.9954,"(40.592403, -73.9954)",,,1730      SHORE PARKWAY,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4456360,Station Wagon/Sport Utility Vehicle,Bike,,,
12/15/2021,8:51,,,,,,CARLTON AVENUE,PARK AVENUE,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4487785,Pick-up Truck,Bike,,,
04/19/2021,9:00,BRONX,10457,40.853172,-73.88964,"(40.853172, -73.88964)",ARTHUR AVENUE,EAST 183 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4409203,Sedan,Bike,,,
04/19/2021,17:48,BRONX,10451,40.823658,-73.91206,"(40.823658, -73.91206)",EAST 161 STREET,ELTON AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4408776,Bike,,,,
04/19/2021,0:00,,,40.817898,-73.938095,"(40.817898, -73.938095)",WEST 141 STREET,,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4408851,E-Bike,Station Wagon/Sport Utility Vehicle,,,
04/19/2021,11:30,BROOKLYN,11219,40.63897,-73.99447,"(40.63897, -73.99447)",,,4610      NEW UTRECHT AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4408903,Station Wagon/Sport Utility Vehicle,Bike,,,
04/19/2021,17:32,,,40.69666,-73.93109,"(40.69666, -73.93109)",BUSHWICK AVENUE,,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4408675,Sedan,Bike,,,
04/17/2021,21:57,BROOKLYN,11211,40.714058,-73.95183,"(40.714058, -73.95183)",,,518       METROPOLITAN AVENUE,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4409192,Station Wagon/Sport Utility Vehicle,Bike,,,
04/19/2021,0:53,MANHATTAN,10029,40.799984,-73.944855,"(40.799984, -73.944855)",EAST 116 STREET,MADISON AVENUE,,1,0,0,0,1,0,0,0,Other Vehicular,Alcohol Involvement,,,,4408556,Sedan,Bike,,,
04/12/2021,16:54,,,40.784943,-73.946594,"(40.784943, -73.946594)",EAST 97 STREET,,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4409391,Station Wagon/Sport Utility Vehicle,Bike,,,
04/19/2021,13:50,QUEENS,11373,40.739395,-73.87792,"(40.739395, -73.87792)",BROADWAY,CORONA AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4408753,E-Bike,Sedan,,,
04/14/2021,16:00,QUEENS,11105,40.78228,-73.914604,"(40.78228, -73.914604)",21 STREET,21 AVENUE,,1,0,0,0,1,0,0,0,Driver Inexperience,Unspecified,,,,4409158,Taxi,Bike,,,
04/16/2021,19:45,MANHATTAN,10029,40.791046,-73.95138,"(40.791046, -73.95138)",EAST 102 STREET,MADISON AVENUE,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4409197,Station Wagon/Sport Utility Vehicle,Bike,,,
04/17/2021,14:40,BRONX,10460,40.845985,-73.884476,"(40.845985, -73.884476)",SOUTHERN BOULEVARD,EAST 180 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4409226,Station Wagon/Sport Utility Vehicle,Bike,,,
04/19/2021,14:30,MANHATTAN,10033,40.850166,-73.93576,"(40.850166, -73.93576)",BROADWAY,WEST 181 STREET,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4409278,Sedan,Bike,,,
04/19/2021,0:00,MANHATTAN,10007,40.712063,-74.01016,"(40.712063, -74.01016)",CHURCH STREET,VESEY STREET,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4408733,Station Wagon/Sport Utility Vehicle,Bike,,,
